Symbol	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Other_designations	Modification_date
ACYP2	ACYM|ACYP	MIM:102595|HGNC:HGNC:180|Ensembl:ENSG00000170634	2	2p16.2	acylphosphatase 2	protein-coding	ACYP2	acylphosphatase 2	"acylphosphatase-2|acylphosphatase 2, muscle type|acylphosphatase, muscle type isozyme|acylphosphate phosphohydrolase 2|testicular tissue protein Li 11"	20210307
ADA	ADA1	MIM:608958|HGNC:HGNC:186|Ensembl:ENSG00000196839	20	20q13.12	adenosine deaminase	protein-coding	ADA	adenosine deaminase	adenosine deaminase|adenosine aminohydrolase	20210302
ADAM8	CD156|CD156a|MS2	MIM:602267|HGNC:HGNC:215|Ensembl:ENSG00000151651	10	10q26.3	ADAM metallopeptidase domain 8	protein-coding	ADAM8	ADAM metallopeptidase domain 8	disintegrin and metalloproteinase domain-containing protein 8|a disintegrin and metalloproteinase domain 8|cell surface antigen MS2|human leukocyte differentiation antigen	20210302
ADAM10	AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz	MIM:602192|HGNC:HGNC:188|Ensembl:ENSG00000137845	15	15q21.3	ADAM metallopeptidase domain 10	protein-coding	ADAM10	ADAM metallopeptidase domain 10	disintegrin and metalloproteinase domain-containing protein 10|a disintegrin and metalloprotease domain 10|kuzbanian protein homolog|mammalian disintegrin-metalloprotease	20210302
ADAR	ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136	MIM:146920|HGNC:HGNC:225|Ensembl:ENSG00000160710	1	1q21.3	adenosine deaminase RNA specific	protein-coding	ADAR	adenosine deaminase RNA specific	double-stranded RNA-specific adenosine deaminase|136 kDa double-stranded RNA-binding protein|adenosine deaminase acting on RNA 1-A|dsRNA adenosine deaminase|dsRNA adeonosine deaminase|interferon-induced protein 4|interferon-inducible protein 4	20210307
ADARB1	ADAR2|DRABA2|DRADA2|NEDHYMS|RED1	MIM:601218|HGNC:HGNC:226|Ensembl:ENSG00000197381	21	21q22.3	adenosine deaminase RNA specific B1	protein-coding	ADARB1	adenosine deaminase RNA specific B1	"double-stranded RNA-specific editase 1|RNA editing deaminase 1|RNA-editing enzyme 1|adenosine deaminase, RNA-specific, B1 (homolog of rat RED1)|dsRNA adenosine deaminase DRADA2"	20210302
ADARB2	ADAR3|RED2	MIM:602065|HGNC:HGNC:227|Ensembl:ENSG00000185736	10	10p15.3	adenosine deaminase RNA specific B2 (inactive)	protein-coding	ADARB2	adenosine deaminase RNA specific B2 (inactive)	"double-stranded RNA-specific editase B2|RED2 homolog|RNA-dependent adenosine deaminase 3|RNA-editing deaminase 2|RNA-editing enzyme 2|adenosine deaminase, RNA-specific, B2 (RED1 homolog rat)|adenosine deaminase, RNA-specific, B2 (RED2 homolog rat)|adenosine deaminase, RNA-specific, B2 (non-functional)|dsRNA adenosine deaminase B2|homolog of rat BLUE"	20210302
ADCP1	-	HGNC:HGNC:229	6	-	adenosine deaminase complexing protein 1	unknown	ADCP1	adenosine deaminase complexing protein 1	-	20190324
ADCY1	AC1|DFNB44	MIM:103072|HGNC:HGNC:232|Ensembl:ENSG00000164742	7	7p12.3	adenylate cyclase 1	protein-coding	ADCY1	adenylate cyclase 1	"adenylate cyclase type 1|3',5'-cyclic AMP synthetase|ATP pyrophosphate-lyase 1|Ca(2+)/calmodulin-activated adenylyl cyclase|adenyl cyclase|adenylate cyclase 1 (brain)|adenylate cyclase type I|adenylyl cyclase 1|adenylyl cyclase subtype 1"	20210302
ADCY2	AC2|HBAC2	MIM:103071|HGNC:HGNC:233|Ensembl:ENSG00000078295	5	5p15.31	adenylate cyclase 2	protein-coding	ADCY2	adenylate cyclase 2	"adenylate cyclase type 2|3',5'-cyclic AMP synthetase|ATP pyrophosphate-lyase 2|adenylate cyclase 2 (brain)|adenylate cyclase II|adenylate cyclase type II|adenylyl cyclase 2|type II adenylate cyclase"	20210302
ADCY3	AC-III|AC3|BMIQ19	MIM:600291|HGNC:HGNC:234|Ensembl:ENSG00000138031	2	2p23.3	adenylate cyclase 3	protein-coding	ADCY3	adenylate cyclase 3	"adenylate cyclase type 3|ATP pyrophosphate-lyase 3|adenylate cyclase type III|adenylate cyclase, olfactive type|adenylyl cyclase 3|adenylyl cyclase, type III"	20210302
ADCY5	AC5|FDFM	MIM:600293|HGNC:HGNC:236|Ensembl:ENSG00000173175	3	3q21.1	adenylate cyclase 5	protein-coding	ADCY5	adenylate cyclase 5	adenylate cyclase type 5|ATP pyrophosphate-lyase 5|adenylate cyclase type V|adenylyl cyclase 5|epididymis secretory sperm binding protein	20210302
ADCY6	AC6|LCCS8	MIM:600294|HGNC:HGNC:237|Ensembl:ENSG00000174233	12	12q13.12	adenylate cyclase 6	protein-coding	ADCY6	adenylate cyclase 6	adenylate cyclase type 6|ATP pyrophosphate-lyase 6|adenylate cyclase type VI|ca(2+)-inhibitable adenylyl cyclase	20210302
ADCY7	AC7	MIM:600385|HGNC:HGNC:238|Ensembl:ENSG00000121281	16	16q12.1	adenylate cyclase 7	protein-coding	ADCY7	adenylate cyclase 7	adenylate cyclase type 7|ATP pyrophosphate-lyase 7|adenylate cyclase type VII|adenylyl cyclase 7	20210302
ADCY8	AC8|ADCY3|HBAC1	MIM:103070|HGNC:HGNC:239|Ensembl:ENSG00000155897	8	8q24.22	adenylate cyclase 8	protein-coding	ADCY8	adenylate cyclase 8	"adenylate cyclase type 8|ATP pyrophosphate-lyase 8|HEL-S-172mP|adenylate cyclase 8 (brain)|adenylate cyclase type VIII|adenylyl cyclase 8|adenylyl cyclase-8, brain|ca(2+)/calmodulin-activated adenylyl cyclase|epididymis secretory sperm binding protein Li 172mP"	20210302
ADCY9	AC9|ACIX	MIM:603302|HGNC:HGNC:240|Ensembl:ENSG00000162104	16	16p13.3	adenylate cyclase 9	protein-coding	ADCY9	adenylate cyclase 9	adenylate cyclase type 9|ATP pyrophosphate-lyase 9|adenylate cyclase type IX|adenylyl cyclase 9|type IX ATP pyrophosphate-lyase	20210302
ADCYAP1	PACAP	MIM:102980|HGNC:HGNC:241|Ensembl:ENSG00000141433	18	18p11.32	adenylate cyclase activating polypeptide 1	protein-coding	ADCYAP1	adenylate cyclase activating polypeptide 1	pituitary adenylate cyclase-activating polypeptide|adenylate cyclase activating polypeptide 1 (pituitary)|prepro-PACAP	20210302
ADCYAP1R1	PAC1|PAC1R|PACAPR|PACAPRI	MIM:102981|HGNC:HGNC:242|Ensembl:ENSG00000078549	7	7p14.3	ADCYAP receptor type I	protein-coding	ADCYAP1R1	ADCYAP receptor type I	pituitary adenylate cyclase-activating polypeptide type I receptor|PACAP receptor 1|PACAP type I receptor|PACAP-R1|adenylate cyclase activating polypeptide 1 (pituitary) receptor type I|pituitary adenylate cyclase activating polypeptide 1 receptor type I Hiphop|pituitary adenylate cyclase-activating polypeptide type 1 receptor	20210302
ADD1	ADDA	MIM:102680|HGNC:HGNC:243|Ensembl:ENSG00000087274	4	4p16.3	adducin 1	protein-coding	ADD1	adducin 1	alpha-adducin|adducin 1 (alpha)|erythrocyte adducin alpha subunit	20210302
ADD2	ADDB	MIM:102681|HGNC:HGNC:244|Ensembl:ENSG00000075340	2	2p13.3	adducin 2	protein-coding	ADD2	adducin 2	beta-adducin|adducin 2 (beta)|erythrocyte adducin subunit beta	20210302
ADD3	ADDL|CPSQ3	MIM:601568|HGNC:HGNC:245|Ensembl:ENSG00000148700	10	10q25.1-q25.2	adducin 3	protein-coding	ADD3	adducin 3	gamma-adducin|adducin 3 (gamma)|adducin-like protein 70	20210302
ADFN	ALDS	MIM:300700	X	Xq25-q26|Xq26.3-q27.1	albinism-deafness syndrome	unknown	-	-	-	20191002
PLIN2	ADFP|ADRP	MIM:103195|HGNC:HGNC:248|Ensembl:ENSG00000147872	9	9p22.1	perilipin 2	protein-coding	PLIN2	perilipin 2	perilipin-2|adipophilin|adipose differentiation-related protein	20210302
ADH1A	ADH1	MIM:103700|HGNC:HGNC:249|Ensembl:ENSG00000187758	4	4q23	"alcohol dehydrogenase 1A (class I), alpha polypeptide"	protein-coding	ADH1A	"alcohol dehydrogenase 1A (class I), alpha polypeptide"	"alcohol dehydrogenase 1A|ADH, alpha subunit|alcohol dehydrogenase 1 (class I), alpha polypeptide|alcohol dehydrogenase subunit alpha|aldehyde reductase"	20210302
ADH1B	ADH2|HEL-S-117	MIM:103720|HGNC:HGNC:250|Ensembl:ENSG00000196616	4	4q23	"alcohol dehydrogenase 1B (class I), beta polypeptide"	protein-coding	ADH1B	"alcohol dehydrogenase 1B (class I), beta polypeptide"	"all-trans-retinol dehydrogenase [NAD(+)] ADH1B|ADH, beta subunit|alcohol dehydrogenase 2 (class I), beta polypeptide|alcohol dehydrogenase subunit beta|aldehyde reductase|epididymis secretory protein Li 117"	20210302
ADH1C	ADH3	MIM:103730|HGNC:HGNC:251|Ensembl:ENSG00000248144	4	4q23	"alcohol dehydrogenase 1C (class I), gamma polypeptide"	protein-coding	ADH1C	"alcohol dehydrogenase 1C (class I), gamma polypeptide"	"alcohol dehydrogenase 1C|ADH, gamma subunit|alcohol dehydrogenase 3 (class I), gamma polypeptide|aldehyde reductase"	20210302
ADH4	ADH-2|HEL-S-4	MIM:103740|HGNC:HGNC:252|Ensembl:ENSG00000198099	4	4q23	"alcohol dehydrogenase 4 (class II), pi polypeptide"	protein-coding	ADH4	"alcohol dehydrogenase 4 (class II), pi polypeptide"	all-trans-retinol dehydrogenase [NAD(+)] ADH4|alcohol dehydrogenase class II pi chain|aldehyde reductase|epididymis secretory protein Li 4	20210302
ADH5	ADH-3|ADHX|AMEDS|BMFS7|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p	MIM:103710|HGNC:HGNC:253|Ensembl:ENSG00000197894	4	4q23	"alcohol dehydrogenase 5 (class III), chi polypeptide"	protein-coding	ADH5	"alcohol dehydrogenase 5 (class III), chi polypeptide"	"alcohol dehydrogenase class-3|S-(hydroxymethyl)glutathione dehydrogenase|S-nitrosoglutathione reductase|alcohol dehydrogenase (class III), chi polypeptide|alcohol dehydrogenase class chi chain|alcohol dehydrogenase class-III|epididymis secretory sperm binding protein Li 60p|formaldehyde dehydrogenase|glutathione-dependent formaldehyde dehydrogenase"	20210302
ADH6	ADH-5	MIM:103735|HGNC:HGNC:255|Ensembl:ENSG00000172955	4	4q23	alcohol dehydrogenase 6 (class V)	protein-coding	ADH6	alcohol dehydrogenase 6 (class V)	alcohol dehydrogenase 6|aldehyde reductase	20210302
ADH7	ADH4	MIM:600086|HGNC:HGNC:256|Ensembl:ENSG00000196344	4	4q23	"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"	protein-coding	ADH7	"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"	all-trans-retinol dehydrogenase [NAD(+)] ADH7|alcohol dehydrogenase VII|alcohol dehydrogenase class 4 mu/sigma chain|alcohol dehydrogenase class IV mu/sigma chain|alcohol dehydrogenase-7|class IV sigma-1 alcohol dehydrogenase|class IV sigmasigma alcohol dehydrogenase|gastric alcohol dehydrogenase|omega-hydroxydecanoate dehydrogenase ADH7|retinol dehydrogenase	20210302
ADK	AK	MIM:102750|HGNC:HGNC:257|Ensembl:ENSG00000156110	10	10q22.2|10q11-q24	adenosine kinase	protein-coding	ADK	adenosine kinase	adenosine kinase|adenosine 5'-phosphotransferase|testicular tissue protein Li 14	20210302
ADM	AM|PAMP	MIM:103275|HGNC:HGNC:259|Ensembl:ENSG00000148926	11	11p15.4	adrenomedullin	protein-coding	ADM	adrenomedullin	pro-adrenomedullin|preproadrenomedullin|proadrenomedullin N-20 terminal peptide	20210302
ADORA1	RDC7	MIM:102775|HGNC:HGNC:262|Ensembl:ENSG00000163485	1	1q32.1	adenosine A1 receptor	protein-coding	ADORA1	adenosine A1 receptor	adenosine receptor A1|adenosine A1 receptor variant 1|adenosine A1 receptor variant 2	20210302
ADORA2A	A2aR|ADORA2|RDC8	MIM:102776|HGNC:HGNC:263|Ensembl:ENSG00000128271	22	22q11.23	adenosine A2a receptor	protein-coding	ADORA2A	adenosine A2a receptor	adenosine receptor A2a|adenosine receptor subtype A2a	20210302
ADORA2B	ADORA2	MIM:600446|HGNC:HGNC:264|Ensembl:ENSG00000170425	17	17p12	adenosine A2b receptor	protein-coding	ADORA2B	adenosine A2b receptor	adenosine receptor A2b	20210302
ADORA2BP1	ADORA2BP	HGNC:HGNC:265	1	1q32.2	adenosine A2b receptor pseudogene 1	pseudo	ADORA2BP1	adenosine A2b receptor pseudogene 1	-	20210302
ADORA3	A3AR	MIM:600445|HGNC:HGNC:268|Ensembl:ENSG00000282608	1	1p13.2	adenosine A3 receptor	protein-coding	ADORA3	adenosine A3 receptor	adenosine receptor A3	20210307
ADPRH	ARH1|hARH1	MIM:603081|HGNC:HGNC:269|Ensembl:ENSG00000144843	3	3q13.33	ADP-ribosylarginine hydrolase	protein-coding	ADPRH	ADP-ribosylarginine hydrolase	ADP-ribosylarginine hydrolase|ADP-ribose-L-arginine cleaving enzyme|[Protein ADP-ribosylarginine] hydrolase	20210302
PARP1	ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1	MIM:173870|HGNC:HGNC:270|Ensembl:ENSG00000143799	1	1q42.12	poly(ADP-ribose) polymerase 1	protein-coding	PARP1	poly(ADP-ribose) polymerase 1	"poly [ADP-ribose] polymerase 1|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)|ADP-ribosyltransferase NAD(+)|ADP-ribosyltransferase diphtheria toxin-like 1|DNA ADP-ribosyltransferase PARP1|NAD(+) ADP-ribosyltransferase 1|poly (ADP-ribose) polymerase family, member 1|poly(ADP-ribose) synthetase|poly(ADP-ribosyl)transferase|poly[ADP-ribose] synthase 1|protein poly-ADP-ribosyltransferase PARP1"	20210307
PARP4	ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193	MIM:607519|HGNC:HGNC:271|Ensembl:ENSG00000102699	13	13q12.12	poly(ADP-ribose) polymerase family member 4	protein-coding	PARP4	poly(ADP-ribose) polymerase family member 4	"protein mono-ADP-ribosyltransferase PARP4|193 kDa vault protein|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 1|ADP-ribosyltransferase diphtheria toxin-like 4|H5 proline-rich|I-alpha-I-related|PARP-related|PARP-related/IalphaI-related H5/proline-rich|poly [ADP-ribose] polymerase 4|poly(ADP-ribose) synthetase|poly(ADP-ribosyl)transferase-like 1|vault poly(ADP-ribose) polymerase|vault protein, 193-kDa|von Willebrand factor A domain containing 5C"	20210302
PARP1P1	ADPRTP1|PPOLP1	HGNC:HGNC:275|Ensembl:ENSG00000227105	13	13q34	poly(ADP-ribose) polymerase 1 pseudogene 1	pseudo	PARP1P1	poly(ADP-ribose) polymerase 1 pseudogene 1	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase) pseudogene 1|poly (ADP-ribose) polymerase 1 pseudogene|poly(ADP-ribose) polymerase family member 1 pseudogene 1	20210302
PARP1P2	ADPRTP2|PPOLP2	HGNC:HGNC:276	14	14q23.2	poly(ADP-ribose) polymerase 1 pseudogene 2	pseudo	PARP1P2	poly(ADP-ribose) polymerase 1 pseudogene 2	"ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase) pseudogene 2|poly (ADP-ribose) polymerase family, member 1 pseudogene 2"	20210302
ADRA1D	ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2	MIM:104219|HGNC:HGNC:280|Ensembl:ENSG00000171873	20	20p13	adrenoceptor alpha 1D	protein-coding	ADRA1D	adrenoceptor alpha 1D	"alpha-1D adrenergic receptor|adrenergic, alpha -1D-, receptor|adrenergic, alpha-1A-, receptor|alpha-1A adrenergic receptor|alpha-1D adrenoceptor|alpha-1D adrenoreceptor|alpha-adrenergic receptor 1a"	20210302
ADRA1B	ADRA1|ALPHA1BAR	MIM:104220|HGNC:HGNC:278|Ensembl:ENSG00000170214	5	5q33.3	adrenoceptor alpha 1B	protein-coding	ADRA1B	adrenoceptor alpha 1B	"alpha-1B adrenergic receptor|adrenergic, alpha-1B-, receptor|alpha-1B adrenoceptor|alpha-1B adrenoreceptor"	20210302
ADRA1A	ADRA1C|ADRA1L1|ALPHA1AAR	MIM:104221|HGNC:HGNC:277|Ensembl:ENSG00000120907	8	8p21.2	adrenoceptor alpha 1A	protein-coding	ADRA1A	adrenoceptor alpha 1A	alpha-1A adrenergic receptor|G protein coupled receptor|alpha-1A adrenoceptor|alpha-1A adrenoreceptor|alpha-1C adrenergic receptor	20210302
ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32	MIM:104210|HGNC:HGNC:281|Ensembl:ENSG00000150594	10	10q25.2	adrenoceptor alpha 2A	protein-coding	ADRA2A	adrenoceptor alpha 2A	"alpha-2A adrenergic receptor|adrenergic, alpha-2A-, receptor|alpha-2 adrenergic receptor subtype C10|alpha-2-adrenergic receptor, platelet type|alpha-2A adrenoceptor|alpha-2A adrenoreceptor|alpha-2AAR subtype C10"	20210302
ADRA2B	ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR	MIM:104260|HGNC:HGNC:282|Ensembl:ENSG00000274286	2	2q11.2	adrenoceptor alpha 2B	protein-coding	ADRA2B	adrenoceptor alpha 2B	"alpha-2B adrenergic receptor|ADRA2B adrenergic, alpha-2B-, receptor|G-protein coupled receptor|alpha-2 adrenergic receptor subtype C2|alpha-2-adrenergic receptor-like 1|alpha-2B adrenoreceptor"	20210302
ADRA2C	ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR	MIM:104250|HGNC:HGNC:283|Ensembl:ENSG00000184160	4	4p16.3	adrenoceptor alpha 2C	protein-coding	ADRA2C	adrenoceptor alpha 2C	"alpha-2C adrenergic receptor|adrenergic, alpha-2C-, receptor|alpha-2 adrenergic receptor subtype C4|alpha-2C adrenoceptor|alpha-2C adrenoreceptor|alpha-2CAR|alpha2-AR-C4"	20210302
ADRB1	ADRB1R|B1AR|BETA1AR|FNSS2|RHR	MIM:109630|HGNC:HGNC:285|Ensembl:ENSG00000043591	10	10q25.3	adrenoceptor beta 1	protein-coding	ADRB1	adrenoceptor beta 1	"beta-1 adrenergic receptor|adrenergic, beta-1-, receptor|beta-1 adrenoceptor|beta-1 adrenoreceptor"	20210302
ADRB2	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	MIM:109690|HGNC:HGNC:286|Ensembl:ENSG00000169252	5	5q32	adrenoceptor beta 2	protein-coding	ADRB2	adrenoceptor beta 2	"beta-2 adrenergic receptor|adrenergic, beta-2-, receptor, surface|adrenoceptor beta 2 surface|beta-2 adrenoceptor|beta-2 adrenoreceptor|catecholamine receptor"	20210302
ADRB3	BETA3AR	MIM:109691|HGNC:HGNC:288|Ensembl:ENSG00000188778	8	8p11.23	adrenoceptor beta 3	protein-coding	ADRB3	adrenoceptor beta 3	"beta-3 adrenergic receptor|adrenergic, beta-3-, receptor|beta-3 adrenoceptor|beta-3 adrenoreceptor"	20210302
GRK2	ADRBK1|BARK1|BETA-ARK1	MIM:109635|HGNC:HGNC:289|Ensembl:ENSG00000173020	11	11q13.2	G protein-coupled receptor kinase 2	protein-coding	GRK2	G protein-coupled receptor kinase 2	beta-adrenergic receptor kinase 1|adrenergic beta receptor kinase 1|beta-ARK-1	20210302
GRK3	ADRBK2|BARK2	MIM:109636|HGNC:HGNC:290|Ensembl:ENSG00000100077	22	22q12.1	G protein-coupled receptor kinase 3	protein-coding	GRK3	G protein-coupled receptor kinase 3	"beta-adrenergic receptor kinase 2|adrenergic, beta, receptor kinase 2|beta-ARK-2"	20210302
ADSL	AMPS|ASASE|ASL	MIM:608222|HGNC:HGNC:291|Ensembl:ENSG00000239900	22	22q13.1	adenylosuccinate lyase	protein-coding	ADSL	adenylosuccinate lyase	adenylosuccinate lyase|adenylosuccinase	20210302
ADSS2	ADEH|ADSS|ADSS 2	MIM:103060|HGNC:HGNC:292|Ensembl:ENSG00000035687	1	1q44	adenylosuccinate synthase 2	protein-coding	ADSS2	adenylosuccinate synthase 2	"adenylosuccinate synthetase isozyme 2|AMPSase 2|IMP--aspartate ligase 2|L-type adenylosuccinate synthetase|adenylosuccinate synthetase (Ade(-)H-complementing)|adenylosuccinate synthetase, acidic isozyme|adenylosuccinate synthetase, liver isozyme|epididymis secretory sperm binding protein"	20210302
AP2A1	ADTAA|AP2-ALPHA|CLAPA1	MIM:601026|HGNC:HGNC:561|Ensembl:ENSG00000196961	19	19q13.33	adaptor related protein complex 2 subunit alpha 1	protein-coding	AP2A1	adaptor related protein complex 2 subunit alpha 1	"AP-2 complex subunit alpha-1|100 kDa coated vesicle protein A|adapter-related protein complex 2 alpha-1 subunit|adapter-related protein complex 2 subunit alpha-1|adaptin, alpha A|adaptor protein complex AP-2 subunit alpha-1|adaptor related protein complex 2 alpha 1 subunit|alpha-adaptin A|alpha1-adaptin|clathrin assembly protein complex 2 alpha-A large chain|clathrin-associated/assembly/adaptor protein, large, alpha 1|plasma membrane adaptor HA2/AP2 adaptin alpha A subunit"	20210302
AP2A2	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	MIM:607242|HGNC:HGNC:562|Ensembl:ENSG00000183020	11	11p15.5	adaptor related protein complex 2 subunit alpha 2	protein-coding	AP2A2	adaptor related protein complex 2 subunit alpha 2	"AP-2 complex subunit alpha-2|100 kDa coated vesicle protein C|adapter-related protein complex 2 subunit alpha-2|adaptin, alpha B|adaptor related protein complex 2 alpha 2 subunit|alpha-adaptin C; Huntingtin interacting protein J|alpha2-adaptin|clathrin assembly protein complex 2 alpha-C large chain|clathrin-associated/assembly/adaptor protein, large, alpha 2|huntingtin yeast partner J|huntingtin-interacting protein 9|plasma membrane adaptor HA2/AP2 adaptin alpha C subunit"	20210307
AP1B1	ADTB1|AP105A|BAM22|CLAPB2|KIDAR	MIM:600157|HGNC:HGNC:554|Ensembl:ENSG00000100280	22	22q12.2	adaptor related protein complex 1 subunit beta 1	protein-coding	AP1B1	adaptor related protein complex 1 subunit beta 1	"AP-1 complex subunit beta-1|ADTB1, CLAPB2|Golgi adaptor HA1/AP1 adaptin beta subunit|adapter-related protein complex 1 subunit beta-1|adaptor protein complex AP-1 subunit beta-1|adaptor related protein complex 1 beta 1 subunit|beta-1-adaptin|beta-adaptin 1|beta-prime-adaptin|beta1-adaptin|clathrin assembly protein complex 1 beta large chain|plasma membrane adaptor HA2/AP2 adaptor beta subunit"	20210302
AP2B1	ADTB2|AP105B|AP2-BETA|CLAPB1	MIM:601025|HGNC:HGNC:563|Ensembl:ENSG00000006125	17	17q12	adaptor related protein complex 2 subunit beta 1	protein-coding	AP2B1	adaptor related protein complex 2 subunit beta 1	"AP-2 complex subunit beta|adapter-related protein complex 2 beta subunit|adapter-related protein complex 2 subunit beta|adaptin, beta 2 (beta)|adaptor protein complex AP-2 subunit beta|adaptor related protein complex 2 beta 1 subunit|adaptor-related protein complex 2 subunit beta|beta-2-adaptin|beta-adaptin|beta2-adaptin|clathrin assembly protein complex 2 beta large chain|clathrin-associated/assembly/adaptor protein, large, beta 1|plasma membrane adaptor HA2/AP2 adaptin beta subunit|testicular tissue protein Li 22"	20210302
AP1G1	ADTG|CLAPG1	MIM:603533|HGNC:HGNC:555|Ensembl:ENSG00000166747	16	16q22.2	adaptor related protein complex 1 subunit gamma 1	protein-coding	AP1G1	adaptor related protein complex 1 subunit gamma 1	"AP-1 complex subunit gamma-1|adapter-related protein complex 1 subunit gamma-1|adaptor protein complex AP-1 subunit gamma-1|adaptor related protein complex 1 gamma 1 subunit|clathrin assembly protein complex 1 gamma large chain|clathrin assembly protein complex 1 gamma-1 large chain|clathrin-associated/assembly/adaptor protein, large, gamma 1|gamma adaptin|gamma1-adaptin|golgi adaptor HA1/AP1 adaptin gamma subunit|golgi adaptor HA1/AP1 adaptin subunit gamma-1|testicular tissue protein Li 21"	20210302
AEBP1	ACLP	MIM:602981|HGNC:HGNC:303|Ensembl:ENSG00000106624	7	7p13	AE binding protein 1	protein-coding	AEBP1	AE binding protein 1	adipocyte enhancer-binding protein 1|aortic carboxypeptidase-like protein	20210302
TLE5	AES|AES-1|AES-2|ESP1|GRG|GRG5|Grg-5	MIM:600188|HGNC:HGNC:307|Ensembl:ENSG00000104964	19	19p13.3	"TLE family member 5, transcriptional modulator"	protein-coding	TLE5	"TLE family member 5, transcriptional modulator"	TLE family member 5|amino-terminal enhancer of split|gp130-associated protein GAM|groucho-related protein 5	20210302
